cause,effect,lag,f_stat,p_value,sig_10,sig_5
Monetary,Consumer,1,2.4206,0.1236,False,False
Monetary,Consumer,2,0.9315,0.3982,False,False
Monetary,Consumer,3,0.7418,0.5304,False,False
Monetary,Consumer,4,1.8265,0.1329,False,False
Monetary,Fiscal,1,5.0295,0.0276,True,True
Monetary,Fiscal,2,7.5782,0.001,True,True
Monetary,Fiscal,3,5.145,0.0027,True,True
Monetary,Fiscal,4,3.8977,0.0063,True,True
Monetary,Labour,1,0.407,0.5253,False,False
Monetary,Labour,2,10.0635,0.0001,True,True
Monetary,Labour,3,6.5353,0.0005,True,True
Monetary,Labour,4,4.8534,0.0016,True,True
Monetary,Trade,1,0.2284,0.634,False,False
Monetary,Trade,2,0.0073,0.9927,False,False
Monetary,Trade,3,0.4807,0.6967,False,False
Monetary,Trade,4,0.5558,0.6954,False,False
