,trade_balance,import_px_yoy,mfg_ppi_yoy,fragility_score
1992-01-01,-1832.6666666666667,,,0.0
1992-04-01,-3284.0,,,0.0
1992-07-01,-3588.6666666666665,,,0.0
1992-10-01,-4363.666666666667,,,0.0
1993-01-01,-4748.0,0.4611564384533473,2.294893861158931,0.06890125749030696
1993-04-01,-5914.333333333333,1.168555240793201,1.8728717366629066,0.07603567443640269
1993-07-01,-6331.333333333333,-1.2199372603694747,0.9348441926345652,0.02337110481586413
1993-10-01,-6443.0,-1.4634146341463428,0.874717832957117,0.021867945823927926
1994-01-01,-7306.0,-0.6355932203389814,0.6730229949523325,0.016825574873808313
1994-04-01,-7998.333333333333,0.2800140007000351,0.5292479108635062,0.020231547789088533
1994-07-01,-8450.666666666666,3.034580098800288,2.0207690148751123,0.126383727841885
1994-10-01,-9076.333333333334,4.243281471004234,2.1258741258741276,0.15922888992195905
1995-01-01,-9283.0,5.899076048329777,2.813370473537602,0.21781116304668446
1995-04-01,-9774.0,6.143106457242586,3.3527292878913872,0.23739589362834934
1995-07-01,-6772.0,3.6643835616438247,2.6409903713892735,0.15763434832582746
1995-10-01,-6299.666666666667,2.442333785617379,2.848534648041623,0.13227171084147504
1996-01-01,-7846.666666666667,1.946308724832213,2.2758060146301773,0.10555286848655976
1996-04-01,-8487.666666666666,0.2959552778691199,2.2252010723860627,0.06302890875637956
1996-07-01,-10228.0,0.13214403700034794,2.385419458590188,0.06293908738976339
1996-10-01,-8126.0,1.6887417218543144,2.316910785619175,0.10014131268683724
1997-01-01,-9809.333333333334,-0.13166556945359842,1.6688741721854417,0.04172185430463604
1997-04-01,-7878.0,-2.8196721311475437,0.31471282454760274,0.007867820613690069
1997-07-01,-8348.333333333334,-2.5734081161333022,-0.10471204188481353,0.0
1997-10-01,-10054.666666666666,-4.298274177792272,-0.5465903175429387,0.0
1998-01-01,-11740.0,-6.064601186552398,-1.4069828035435217,0.0
1998-04-01,-13796.333333333334,-5.296896086369774,-0.9673202614379095,0.0
1998-07-01,-14932.333333333334,-6.366407043684386,-0.9171907756813313,0.007697920899680355
1998-10-01,-14911.0,-6.396733582851299,-0.9421617377649905,0.00836959872846969
1999-01-01,-17354.333333333332,-3.8596491228070184,0.0,0.0
1999-04-01,-20294.666666666668,-0.8193801211257568,1.0823653643083464,0.02705913410770866
1999-07-01,-22808.333333333332,2.857142857142847,2.3538746363395813,0.1302754373370607
1999-10-01,-24812.333333333332,5.452562704471098,3.302509907529716,0.21887681530002034
2000-01-01,-29160.666666666668,8.540145985401448,4.6247357293869085,0.3291220428697089
2000-04-01,-29389.333333333332,6.860632183908044,4.439801514755803,0.28383067426692365
2000-07-01,-31505.333333333332,6.258790436005635,3.9018087855297034,0.2675480663743949
2000-10-01,-33173.666666666664,4.412271630472242,3.3503836317135605,0.24788807539782295
2001-01-01,-32438.333333333332,0.43712172158709706,2.071230108613298,0.16905326897788336
2001-04-01,-28922.333333333332,-1.3781512605042123,2.0005001250312793,0.22114639275584735
2001-07-01,-29404.333333333332,-4.698874917273333,0.6217358865953759,0.18583872650236505
2001-10-01,-29359.666666666668,-8.41862000660284,-1.5095273447166768,0.151362439175722
