,participation,u6,weekly_hours,part_time_econ,fragility_score
1994-01-01,66.56666666666666,11.533333333333333,34.36666666666667,1495.3333333333333,0.23194444444444454
1994-04-01,66.5,11.066666666666668,34.5,1698.3333333333333,0.20666666666666672
1994-07-01,66.53333333333333,10.6,34.53333333333333,1747.6666666666667,0.18555555555555572
1994-10-01,66.7,10.200000000000001,34.5,1638.3333333333333,0.16749999999999995
1995-01-01,66.76666666666667,9.966666666666667,34.43333333333333,1540.0,0.16152777777777805
1995-04-01,66.63333333333334,10.1,34.233333333333334,1656.3333333333333,0.18597222222222187
1995-07-01,66.6,10.133333333333333,34.3,1634.0,0.1833333333333337
1995-10-01,66.5,10.033333333333333,34.233333333333334,1491.0,0.18791666666666657
1996-01-01,66.53333333333333,9.9,34.13333333333333,1440.6666666666667,0.18930555555555567
1996-04-01,66.7,9.833333333333334,34.300000000000004,1520.3333333333333,0.1687499999999996
1996-07-01,66.83333333333333,9.533333333333333,34.36666666666667,1645.6666666666667,0.14805555555555566
1996-10-01,67.0,9.5,34.4,1467.0,0.1387500000000001
1997-01-01,67.0,9.266666666666667,34.4,1313.3333333333333,0.13000000000000014
1997-04-01,67.1,9.033333333333333,34.46666666666667,1453.6666666666667,0.11624999999999985
1997-07-01,67.16666666666667,8.7,34.56666666666667,1603.6666666666667,0.09624999999999972
1997-10-01,67.16666666666667,8.466666666666667,34.56666666666667,1459.0,0.08749999999999974
1998-01-01,67.1,8.366666666666667,34.5,1208.3333333333333,0.08875000000000002
1998-04-01,67.0,8.033333333333333,34.43333333333333,1411.6666666666667,0.08125000000000024
1998-07-01,67.06666666666666,8.033333333333333,34.46666666666667,1459.0,0.07874999999999985
1998-10-01,67.16666666666667,7.733333333333333,34.46666666666667,1284.0,0.06749999999999985
1999-01-01,67.13333333333334,7.6000000000000005,34.4,1222.6666666666667,0.06750000000000012
1999-04-01,67.1,7.533333333333334,34.36666666666667,1399.0,0.06749999999999999
1999-07-01,67.03333333333333,7.3999999999999995,34.36666666666667,1361.6666666666667,0.062499999999999944
1999-10-01,67.06666666666666,7.166666666666667,34.4,1204.6666666666667,0.051250000000000115
2000-01-01,67.3,7.066666666666666,34.4,998.3333333333334,0.04750000000000009
2000-04-01,67.16666666666667,7.0,34.333333333333336,1054.6666666666667,0.04999999999999982
2000-07-01,66.9,7.033333333333334,34.266666666666666,1067.6666666666667,0.05958333333333325
2000-10-01,66.89999999999999,6.933333333333334,34.13333333333333,918.0,0.06833333333333365
2001-01-01,67.16666666666667,7.3,34.1,945.3333333333334,0.07874999999999989
2001-04-01,66.76666666666667,7.6000000000000005,34.0,989.0,0.10527777777777783
2001-07-01,66.7,8.266666666666666,33.9,1023.6666666666666,0.13999999999999996
2001-10-01,66.7,9.433333333333334,33.766666666666666,993.3333333333334,0.19374999999999998
2002-01-01,66.63333333333333,9.433333333333334,33.800000000000004,1004.6666666666666,0.19347222222222218
2002-04-01,66.66666666666667,9.6,33.9,981.0,0.19111111111111106
2002-07-01,66.60000000000001,9.6,33.86666666666667,998.3333333333334,0.19583333333333303
2002-10-01,66.43333333333334,9.733333333333334,33.8,1027.0,0.21138888888888901
2003-01-01,66.36666666666667,10.0,33.666666666666664,955.3333333333334,0.23361111111111102
2003-04-01,66.43333333333334,10.200000000000001,33.63333333333333,963.3333333333334,0.24138888888888885
2003-07-01,66.13333333333333,10.266666666666667,33.63333333333333,951.3333333333334,0.25388888888888916
