,d1_Wage-Produ,d2_Consumer B,d3_Fiscal Sus,d4_Labour Mar,d5_Trade Arch,d6_Monetary C,CFI,CFI_normalised
2005-01-01,0.5289206929178905,0.25373286659009137,0.5065215714285715,0.21402777777777743,0.45635828525748084,0.32346728241386774,8.075114840812823,0.07648045203064813
2005-04-01,0.5277938232570583,0.25375959561492956,0.5045823571428572,0.19875000000000012,0.46208017116458533,0.3355116283219444,8.059831624277605,0.07631524378521398
2005-07-01,0.5425033687045372,0.25769155000063537,0.5025611428571428,0.19513888888888908,0.5514032902178011,0.31769317433420524,8.48405354275117,0.08090099042200491
2005-10-01,0.54842226585395,0.26905935400541126,0.5094291428571428,0.18472222222222245,0.5368681339931526,0.30587759351920524,8.387259194433943,0.0798546645771423
2006-01-01,0.5373424511446483,0.2631889843729028,0.5111172857142857,0.16749999999999957,0.48388617346970053,0.28454369692042686,7.715226127686084,0.07259013334608257
2006-04-01,0.5479755085687299,0.27500618850596725,0.5087244285714286,0.1626388888888889,0.5296321667666138,0.27446220551561357,7.964565694483051,0.07528543981202923
2006-07-01,0.555649434363165,0.27923888475366704,0.50952,0.1651388888888889,0.44113675380333583,0.2551514664607768,7.45255159242105,0.0697506787724092
2006-10-01,0.5333214994683106,0.2686932006910377,0.5130492142857143,0.14833333333333337,0.2399572028904094,0.2450767578099805,6.109512871338233,0.05523272241492952
2007-01-01,0.5174808056065274,0.26629983250738326,0.5160926428571428,0.15583333333333307,0.27130839738601387,0.24823988990168522,6.265888326639474,0.05692310706267374
2007-04-01,0.5426107258291779,0.26958703750120194,0.5112299285714286,0.16819444444444415,0.30088686180294166,0.24907220244001574,6.6018405514252985,0.060554677516358416
2007-07-01,0.5603970670881947,0.41052847633690714,0.5132018571428572,0.17805555555555563,0.33077749834340175,0.3145844619133711,8.292274440984889,0.07882790005907424
2007-10-01,0.5735155256814888,0.5404518928003885,0.5194231428571429,0.1843055555555557,0.5969093751470513,0.3112909030615885,11.165556360163993,0.10988745243873005
2008-01-01,0.5649416098586824,0.5888170962962536,0.5298055714285714,0.20249999999999962,0.6857369392049609,0.349196611028841,12.878320568702483,0.1284020608709926
2008-04-01,0.6024932717184204,0.6274089720115461,0.5275122857142858,0.22847222222222205,0.7378508926706728,0.3725052757694823,14.589096475886516,0.14689517619822667
2008-07-01,0.6144159433874367,0.7202186487555086,0.5520324999999999,0.2786111111111111,0.8341316295404313,0.42647804152298485,18.40202746949418,0.18811213062426682
2008-10-01,0.5464003965360906,0.6954031940316083,0.5946082142857143,0.3679166666666672,0.37480484911841355,0.5948991232346144,16.490896004075445,0.16745321530573784
2009-01-01,0.5986687919858799,0.6143361697085046,0.6221782857142858,0.4783333333333335,0.22084025956435546,0.6108275489230987,16.127155055289148,0.1635212547918592
2009-04-01,0.6017339943180915,0.5640636771326741,0.6448580714285714,0.49083333333333334,0.2,0.5755820084439782,15.304925229281473,0.15463312927290668
2009-07-01,0.6280076331738051,0.6495189157655721,0.6601952142857143,0.4980555555555556,0.224522705724453,0.4927346600623752,16.049969431533693,0.16268689499305677
2009-10-01,0.6543595218473034,0.6055691637581971,0.6716382142857142,0.5086111111111116,0.2541631603279998,0.4694275542950419,16.153154531981745,0.1638023034779582
2010-01-01,0.6736852349906245,0.6151041089364834,0.6893696428571429,0.5036111111111112,0.4852184153234461,0.43952668296483566,19.152118981480548,0.19622045666445292
2010-04-01,0.6596849699962085,0.5752774653595979,0.7009165714285714,0.4925000000000002,0.4215686916837055,0.5086860541748907,18.668201039810338,0.19098940900552525
2010-07-01,0.6650116167651432,0.48012976747291725,0.7111805714285715,0.49388888888888904,0.2887619318535353,0.485360230320843,15.658132842805113,0.15845122672443174
2010-10-01,0.6773101181149124,0.47373206980718136,0.7257952857142858,0.4955555555555556,0.29447143519784363,0.431988885478785,15.251069972437847,0.1540509656642162
2011-01-01,0.6531395895357234,0.5276928887131715,0.735401,0.5094444444444441,0.4478899616598565,0.42822909659506275,17.738094270374972,0.1809351571999093
2011-04-01,0.685392145789677,0.494849586966696,0.7299557142857143,0.5016666666666663,0.6254207260620781,0.42129585213159565,19.517979786182885,0.2001753323595472
2011-07-01,0.6802978260674908,0.3953796913400079,0.7465784285714285,0.5016666666666663,0.6209077946004082,0.5660912081910436,20.339226663847633,0.2090528324207819
2011-10-01,0.7172303422704762,0.23701929354691034,0.7577908571428571,0.4977777777777781,0.5203797237786346,0.5805874697516449,17.234569040682654,0.17549215902360263
2012-01-01,0.6977727445824686,0.21348384863538608,0.7651648571428571,0.4990277777777775,0.35186437493744677,0.45756672273463356,13.539377070081809,0.1355479378186919
2012-04-01,0.7010519079489119,0.1997772570743727,0.7701973571428571,0.49888888888888927,0.12086690281006082,0.4977929035341836,11.497505108086767,0.11347574617859883
2012-07-01,0.7036955702951486,0.2198933956882641,0.7746276428571428,0.5020833333333334,0.09963356975319168,0.4707349068950485,11.328080807435033,0.11164430635177443
2012-10-01,0.6694080582970191,0.1515205245847501,0.7862497857142856,0.4875000000000004,0.10847514232784122,0.4717061104903817,10.428299200620975,0.10191786295596714
2013-01-01,0.7065511149838782,0.2367165518958261,0.7909997857142856,0.48652777777777806,0.07459411186808576,0.4162909920336747,10.749200537328335,0.10538673658428531
2013-04-01,0.69096851977304,0.22037975591115247,0.7861255714285714,0.48375000000000024,0.06039034964251078,0.4342957301478622,10.454813035847575,0.10220447174590497
2013-07-01,0.7135734753315576,0.3854372405930546,0.7766283571428572,0.47819444444444403,0.06214714289443818,0.4056637927606928,11.865049194417951,0.1174488177818537
2013-10-01,0.7215900519454604,0.35027485169343114,0.7842227142857143,0.47666666666666657,0.03202656356408362,0.4113280507623282,11.340271127028416,0.11177608105421769
2014-01-01,0.68986111749496,0.341986960830841,0.8024726428571429,0.4556944444444445,0.07767764522932566,0.4231491334500661,11.594835870206296,0.11452787053995181
2014-04-01,0.7163278156307893,0.27829214775603456,0.7903664285714287,0.4313888888888886,0.12243362342713729,0.4045435518631722,11.12520320002173,0.10945124355760455
2014-07-01,0.7250538524765163,0.2353577254174385,0.7865103571428571,0.42027777777777753,0.09514746187058198,0.4120239360364978,10.438932278691318,0.10203280421636986
2014-10-01,0.6999603226497546,0.16060371071876206,0.7948607142857143,0.39402777777777787,0.12039427885699705,0.47071696391536744,10.108810894086634,0.09846426387637319
2015-01-01,0.6814687001935205,0.14112900529612663,0.7622825250809777,0.3872222222222223,0.10056025114298581,0.5138585773820313,9.719728753097158,0.09425837058849705
2015-04-01,0.6860032382994197,0.1357127116847779,0.7386638442351081,0.3849999999999998,0.13237673523720872,0.4640344302658313,9.432079702397003,0.09114894693690763
2015-07-01,0.6867747154821994,0.12741285187921392,0.744295256036946,0.3626388888888888,0.25428432468265594,0.5267760388865446,10.726621354004301,0.10514266052531542
